0000000000,11627047200100A
0000000028,98262265900102A
0000000055,14624323100103A
000000007d,44136167900104A
00000000a3,99969473000120A
00000000c8,68095631900124A
00000000ea,46951777700126A
000000010f,09563777700140A
000000013a,45526813100142A
0000000160,06227766800144A
000000018c,45052857200145A
00000001b8,12955344600147A
00000001dc,69534673500148A
00000001fe,14209442900160A
000000022a,44379623500162A
0000000256,64541668700164A
000000027e,24389647500170A
00000002aa,16394184600172A
00000002d7,81198194300174A
0000000303,34119395900176A
000000032f,96361983600190A
000000035d,12625076800192A
000000038a,74690041800210A
00000003b5,69126966700212A
00000003dd,09682442300214A
0000000405,82583844600215A
0000000431,23762794700216A
000000045e,90855108500218A
000000048c,58329600300220A
00000004b3,99117127100222A
00000004df,00548182600300A
0000000509,44308776100320A
0000000538,13910551100322A
0000000563,89984767800326A
0000000592,75811357800350A
00000005bf,35754895900352A
00000005ec,13657772600400A
000000061a,55316505400402A
0000000645,95908838400404A
0000000670,72679285000406A
000000069b,41873704100410A
00000006c9,79673177000450A
00000006f6,43218667500452A
0000000723,63111728500454A
000000074f,56222412600470A
0000000777,95009976600472A
00000007a2,52914303000474A
00000007cd,88240914300500A
00000007f9,52788795500520A
0000000822,09706597000522A
000000084f,04192705500524A
0000000877,81570014700528A
00000008a5,77068206000529B
00000008d3,09364977200530A
0000000900,14332446600532A
0000000929,99001970400534A
0000000955,23572224100537A
0000000982,45497356500539B
00000009b0,34453725600540A
00000009d7,17385628400541A
0000000a05,44332837200542A
0000000a2e,56096669200546A
0000000a5c,51234177500548A
0000000a8a,46409686000550A
0000000ab7,05679584300560A
0000000ae4,00744081100561A
0000000b10,99044793400562A
0000000b3b,79549905600563A
0000000b68,38398085100566A
0000000b8f,08624727700580A
0000000bbd,50883896100600A
0000000bea,69073142100604A
0000000c15,20485346200620A
0000000c42,08518909300622A
0000000c6d,92245691800630A
0000000c9a,16688806600632A
0000000cc5,69406409300634A
0000000cf2,11578313400635A
0000000d1b,12904554100640A
0000000d47,14672465700670A
0000000d74,29669541600700A
0000000da1,35521880400702A
0000000dcb,38066313100730A
0000000df8,48623003200740A
0000000e24,94924421600750A
0000000e4e,18978167900752A
0000000e78,67240570100754A
0000000ea2,04545573900756A
0000000ecc,75652321200770A
0000000ef9,76809387400790A
0000000f25,12182671800792A
0000000f52,68160416100794A
0000000f7c,20862779800796A
0000000faa,78523210000797A
0000000fd7,28346447800800A
0000001004,85777034900802A
000000102f,28438999600810A
000000105c,96808981500820A
0000001089,57432144200830A
00000010b3,55478331500832A
00000010dd,95965183200834A
000000110b,73364397300836A
0000001139,49842829200840A
0000001165,44164067800842A
000000118c,58822701000844A
00000011b4,35119563400846A
00000011da,61084668500848A
0000001205,68549296700851A
000000122d,17119285400860A
0000001259,97643640000862A
0000001285,29595561100864A
00000012b1,11993910800865A
00000012de,32592802400866A
000000130a,19781259900868A
0000001335,87716086800870A
0000001361,08810956800872A
0000001390,18030356100873A
00000013bf,02611174200880A
00000013ec,51485264400882A
0000001419,86701416400902A
0000001444,33503511000904A
000000146e,94499219500906A
0000001498,03897584400908A
00000014c5,61588697700910A
00000014ee,96442055900912A
000000151a,82723479900914A
0000001547,48210362400916A
0000001571,41962136300918A
0000001598,80172461500920A
00000015c3,06468656900921A
00000015e6,88249807000922A
0000001612,72597427800924A
000000163e,54146169200926A
0000001669,57426222500928A
0000001694,18707282500930A
00000016bf,56305144300932A
00000016ec,85679051200934A
000000171a,93902245300936A
0000001748,89800302300938A
0000001775,59804858200940A
00000017a1,57893499400942A
00000017cf,98691273500944A
00000017fd,87426288600948A
0000001827,78008681200950A
0000001852,47213826300952A
000000187e,00188761001112A
00000018a8,35567613701120A
00000018d0,01081519901130A
00000018fd,90807123201140A
000000192b,19535491001150A
0000001959,67746678801160A
0000001983,25827825301170A
00000019ab,45323717101173A
00000019d6,70730727901180A
0000001a04,21974820601190A
0000001a32,01465963701200A
0000001a5f,69466812901202A
0000001a8b,88254131501210A
0000001ab6,47722011901212A
0000001ae3,76099221001214A
0000001b0d,86909201001215A
0000001b38,19122532201220A
0000001b64,88376835201230A
0000001b8e,10650628501232A
0000001bbb,09393833001234A
0000001be7,56998133301250A
0000001c12,57847741601260A
0000001c40,75166579901270A
0000001c6d,01073977401272A
0000001c9a,31410942401274A
0000001cc7,23131905601320A
0000001cf2,24128110901340A
0000001d1f,12810872001360A
0000001d4a,91680406301380A
0000001d78,28807916901382A
0000001da5,34812237501390A
0000001dd2,07072930901392A
0000001dfd,25888903201400A
0000001e29,14374871501402A
0000001e54,96253294901404A
0000001e80,47155866201420A
0000001eac,47128842501430A
0000001ed8,51155013101432A
0000001f02,60636970501440A
0000001f2e,38721978101442A
0000001f58,62421981701444A
0000001f84,27273710801462A
0000001fb1,83415441301464A
0000001fdf,35451402001470A
000000200a,17241318901472A
0000002038,86838331401474A
0000002063,97424919728406A
000000208f,46180233328415A
00000020b4,13701081228420A
00000020df,72895657128430A
000000210c,38770967228435A
0000002139,10314438328436A
0000002166,76775660128445A
000000218c,68614848228450A
00000021ba,90215693028455A
00000021e8,42341019428456A
0000002210,60401033828465A
000000223e,00007542528470A
0000002269,59396180828475A
0000002294,96403585428476A
00000022bf,43618568028485A
00000022ea,13016953328490A
0000002312,53643310828495A
000000233a,41922810928496A
0000002362,87162583128505A
000000238a,94393032728510A
00000023b5,43577909728515A
00000023e0,73879260028525A
0000002404,51468717128530A
0000002432,28943354828531A
0000002460,39780358528540A
0000002488,67967519128545A
00000024b0,27739864728546A
00000024d8,71928650428555A
0000002501,46971851328570A
0000002529,29724422528575A
0000002551,74432300328576A
0000002579,39715177928585A
00000025a2,83832658528600A
00000025ca,44572611028605A
00000025f2,25706985928606A
000000261a,77947877528615A
0000002643,99109790828630A
000000266a,18784749128635A
0000002691,90036949728636A
00000026b8,24497799228645A
00000026e0,30297270928660A
0000002707,57274055028665A
000000272e,24159178528666A
0000002755,53912275428675A
0000002780,86754832428705A
00000027a6,47121300128715A
00000027cc,91758832328725A
00000027f2,64233385128730A
0000002818,95103410128735A
000000283e,49405028428737A
0000002866,73630400028740A
000000288c,41492630428750A
00000028b5,48288818928755A
00000028de,22848286128760A
0000002907,43260421828800A
000000292e,23545659628805A
000000295a,94711516328810A
0000002987,84757726428820A
00000029aa,33115298628825A
00000029d5,70803448128890A
0000002a02,82574573628899B
0000002a2f,04847009729000A
0000002a59,21642996829010A
0000002a83,60491270529015A
0000002aad,67908719129020A
0000002ad7,20685855929025A
0000002b01,16174883929035A
0000002b2b,14823569829040A
0000002b55,70696599529044A
0000002b7f,65670690429046A
0000002ba9,13907162629049B
0000002bd6,34858561629055A
0000002c04,51885861229058A
0000002c32,62664783929065A
0000002c60,64095761929075A
0000002c8d,86303854629085A
0000002cb4,49720081629086A
0000002cd7,97556441629105A
0000002cfe,42188522429125A
0000002d24,92659058529126A
0000002d4a,76208686929130A
0000002d78,63506479629131A
0000002da6,76825240329200A
0000002dca,97566823029220A
0000002df1,56094022529240A
0000002e18,32939669929260A
0000002e45,91426359029280A
0000002e72,60984372429305A
0000002e9b,01312189229325A
0000002ec5,02161326329345A
0000002ef3,83236361229355A
0000002f21,14352064329358A
0000002f4c,85669450529365A
0000002f7a,19233501629405A
0000002fa0,41923225629425A
0000002fc6,25450261229435A
0000002fec,35631058229440A
0000003018,63667908029445A
000000303e,86003556329450A
0000003067,66068976529505A
0000003095,30946416129515A
00000030c3,76935262529520A
00000030e5,93536785629530A
0000003108,29432719729540A
0000003136,35497865829550A
0000003159,38771838329580A
0000003184,89606769129590A
00000031b0,85624035029700A
00000031da,58752524229705A
0000003204,56956567129710A
000000322e,73825578129715A
0000003258,97155074729720A
000000327d,42569204129730A
00000032a0,40456240129740A
00000032c1,94594761229750A
00000032eb,19068094029799B
0000003318,28021769429800A
0000003341,24076173929804A
000000336a,04397248029805A
0000003394,34969049229806A
00000033c2,29259496929807A
00000033f0,55190511529819B
000000341e,13511380629820A
000000344c,68535273229821A
000000347a,82434329229822A
00000034a8,99555098329823A
00000034d6,49189111129824A
0000003504,32652359629825A
0000003532,20741558429826A
0000003560,38645500729827A
000000358e,50672796429830A
00000035b1,86052173629834A
00000035dc,11552885329835A
0000003607,76119545929836A
0000003632,61712642329837A
